,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
470,1547.84836220,12.02452581,2.66758160,3984.95146512,17.82382679,3.40933195
471,5827.29569213,20.71781179,3.86679277,4412.49619924,19.55552918,3.57291982
472,7509.25610178,24.84050441,3.95369516,3521.02506217,15.34627362,3.07971891
473,1778.55790012,12.49188183,2.66728227,5483.66744487,20.20397145,3.63859411
474,9686.42984385,27.86484364,3.74591546,3921.78238984,17.71669256,3.40348638
475,3580.78125382,18.71759826,3.32603976,4105.32665680,17.08978592,3.45080883
476,3816.66020191,17.70518801,3.27988024,4847.78295449,20.92297987,3.66819690
477,7615.98852174,27.85773425,4.24289468,5260.55552426,21.07156040,3.75073977
478,789.34301214,8.02943171,2.41566692,4749.64928220,20.27760910,3.60938471
479,1357.04142012,10.83481967,2.57401393,4159.11320780,16.67485945,3.22220371
480,1519.22227997,11.55737653,2.62304784,3622.28632128,17.56490347,3.24095645
481,9730.06997495,25.92023540,3.57110074,4389.31079570,18.11678199,3.32652837
482,538.38952365,6.69949469,2.28664567,5508.46741436,21.22350833,3.62439140
483,3607.24163503,18.10066068,3.20910478,3656.98082243,17.17795375,3.21686996
484,544.99596280,6.91498407,2.30187076,4576.02183749,19.56760191,3.47629278
485,16088.63730684,37.76025156,5.27928086,5208.80244627,20.27293068,3.49424205
486,8878.37545278,30.67318571,4.70147639,5517.85146561,21.13553421,3.80238341
487,14071.25461961,34.39561177,4.26966975,3993.19274834,17.82527038,3.43329426
488,2122.31935339,14.32862384,2.90910043,3186.89495083,15.94182846,3.24952965
489,14587.41317559,32.84210071,4.81322023,4465.71572363,18.81096663,3.42844938
490,1052.74737535,8.30938219,2.45515235,3495.12755069,15.78173133,3.18550394
491,5501.31066868,21.57661388,3.47824175,3056.78339350,15.42512235,3.13287807
492,5989.30816237,22.49951748,3.91217087,3207.19345329,16.51295666,3.13932183
493,1557.45614457,11.41744664,2.41138276,4470.18781288,19.84160717,3.49925702
494,591.86412956,8.40719983,2.45512747,3193.67305728,16.55974692,3.05907272
495,2077.03815168,13.32766331,2.68053156,4622.43582044,19.52592979,3.39054834
496,2768.20132954,15.51501624,2.95870838,6858.23775509,23.24898947,3.87099854
497,1576.47362194,12.33381071,2.68727281,2324.86573685,13.93176399,2.99460737
498,447.19222288,6.62604474,2.25479974,2960.72824966,16.09482359,3.10058126
499,2513.84345213,12.33094556,2.57683679,3917.41952292,18.46950163,3.32980434
500,1734.18076542,11.93172572,2.66173396,2743.23352882,13.00806134,2.76671465
501,4671.98844525,18.04779375,3.19866454,4585.19265220,20.50690483,3.53515214
502,7479.43520024,25.41609608,3.74312539,6125.56372887,22.95138402,3.80666391
503,11542.12953641,34.25821403,5.29206813,3641.01856216,16.68389518,3.20098469
504,1499.29474796,11.37334666,2.67044510,4852.40297360,19.87526779,3.55945384
505,1262.12940792,10.79359679,2.52923577,4044.70868718,18.42573499,3.49127108
506,5315.41326117,25.71045243,4.84037014,3325.00838210,14.88360189,2.95592714
507,932327.89876071,57.12343526,5.22029522,3053.69594115,15.77307062,3.10743283
508,3054.85316516,11.84274743,2.40659041,9450.02866595,19.75770112,3.27943262
509,1008.28530016,8.15296327,2.53611531,1666.93847151,9.63267555,2.50363308
510,1578.16909293,14.35571410,4.33968485,903.52888474,8.46160283,2.68730613
511,1663.10606807,12.49568810,3.50559531,2116.15294945,14.17189819,3.45489873
512,8019.82521515,23.89717223,4.46457689,2745.80075503,16.74063369,3.64274948
513,757.87164526,9.17190308,2.73572923,3887.11961366,20.25187176,4.04339918
514,751.24869580,8.54247560,2.67298834,3610.87900073,18.66818188,3.68685877
515,4273.47609012,21.20922931,4.41009699,3382.33454348,17.49796994,3.52203787
516,866.77545804,11.34028233,3.38736355,4534.66315627,20.98490636,3.95450510
517,3575.98119263,19.01205840,3.56147008,5141.91157506,21.64449590,4.00362454
518,5841.46512512,23.62936818,4.61668659,4059.42814021,18.18226533,3.51193249
519,5898.67612155,25.22892809,4.47417773,4702.13012401,20.89737132,3.78629560
520,10814.21114787,31.54884409,4.65709715,4586.37993689,20.96481505,3.85278372
521,16425.70672812,44.51238572,7.10435435,4706.16747284,20.91156205,3.85056618
522,7096.31274767,30.74110878,5.47137152,6264.30983527,23.79267311,4.25840486
523,3389.67394036,19.80861609,4.48942531,2626.38368716,13.99750080,3.04072555
524,3843.25627773,19.73743654,3.51647056,4219.61553454,20.12950975,3.69487182
525,2312.25588185,16.22025730,3.49512434,4805.71281458,21.30579476,3.77620264
526,1935.37395698,12.80180083,2.81747319,6554.92199212,25.06656187,4.30206445
527,4592.52773772,20.97825523,3.52684471,2994.58020747,15.75847022,3.21027500
528,1286.44169205,9.65629843,2.59340941,5417.00001115,22.05129191,3.85527012
